$arr$	$mean5$	$mean10$
0.001	1.0	1.0
0.002	1.0	1.0
0.005	1.1	1.1
0.01	1.1	1.1
0.02	1.3	1.3
0.05	1.9	2.0
0.06	2.1	2.4
0.07	2.5	2.9
0.1	4.3 	6.0
0.2	4750.7	1e5
0.3	1e5	1e5
0.5	1e5	1e5
