$arr$	$mean20$	$mean5$		$mean10$
0.001	1.0		1.0		1.0	
0.002	1.1		1.0		1.0
0.005	1.2		1.1		1.1
0.01	1.4		1.1		1.2
0.02	1.9		1.3		1.5
0.05	3.5		1.9		2.4
0.06	4.2		2.2		2.8
0.07	4.9		1e5		3.2
0.1	7.6		1e5		4.7
0.2	29.1		1e5		1e5
0.3	429		1e5		1e5
0.5	1e5		1e5		1e5
