# Arrival Rate		Utilization		Fraction served		Mean number in system		Mean delay
$arr_rate$	$util$	$frac_served$	$mean_num$	$mean_delay$
0.001000	0.009999	1.000000	0.010100	10.098887
0.010000	0.109993	2.000000	0.121193	11.107911
0.030000	0.409973	3.000000	0.549613	14.278889
0.050000	0.909932	4.000000	1.548900	19.983423
0.070000	1.609924	5.000000	3.880015	33.296604
0.090000	2.509937	6.000000	12.874139	99.918267
0.095000	3.459937	7.000000	31.845329	199.665403
0.099000	4.449978	7.999999	131.580618	1007.248284
