# Arrival Rate		Utilization		Fraction served		Mean number in system		Mean delay
$arr_rate$	$util$	$frac_served$	$mean_num$	$mean_delay$
0.000333	0.010000	1.000000	0.010050	30.151594
0.003333	0.099999	1.000000	0.105556	31.666877
0.010000	0.299998	1.000000	0.364282	36.428341
0.016667	0.499997	1.000000	0.749980	44.999015
0.023333	0.699996	1.000000	1.515883	64.966731
0.030000	0.899995	1.000000	4.918595	163.953977
0.031667	0.949995	1.000000	9.908222	312.892785
0.033000	0.989995	1.000000	49.886659	1511.724059
