# Arrival Rate		Utilization		Fraction served		Mean number in system		Mean delay	Rejection Fraction
$arr_rate$	$util$	$frac_served$	$mean_num$	$mean_delay$ $rej_frac$
0.001000	0.009999	1.000000	0.010100	10.098887	0.000000
0.010000	0.099994	1.000000	0.111093	11.107911	0.000000
0.100000	0.999035	0.999001	502.452927	5028.679999	0.000994
1.000000	1.000000	0.099999	1000.888415	10007.451804	0.900000
