# Arrival Rate		Utilization		Fraction served		Mean number in system		Mean delay
$arr_rate$	$util$	$frac_served$	$mean_num$	$mean_delay$
0.001000	0.010000	1.000000	0.010000	10.000000
0.010000	0.100000	1.000000	0.100000	10.000000
0.030000	0.300000	1.000000	0.300000	10.000000
0.050000	0.500000	1.000000	0.500000	10.000000
0.070000	0.700000	1.000000	0.700000	10.000000
0.090000	0.900000	1.000000	0.900000	10.000000
0.095000	0.950000	1.000000	0.950000	10.000000
0.099000	0.990000	1.000000	0.990000	10.000000
