$arr_rate$	$data_mean_delay$	$voice_mean_delay$
0.01		40.00				1.81
0.1			40.18				1.95
0.2			40.35				2.11
0.3			40.50				2.27
0.5			40.84				2.59
1			41.71				3.39
2			43.55				5.00
3			45.56				6.60
5			50.20				9.80
7.5			57.52				13.81
10			67.30				17.83
12.5		81.07				21.87
15			101.98				25.91
17.5		137.42				29.96
20			209.99				34.01
21			265.84				35.63
22			361.81				37.27
23			565.96				38.89
24			1295.11				40.53
