# Packet Arrival Rate	Mean delay
$arr_rate$	$mean_delay$
1			0.50
10			0.50
50			0.51
100			0.51
150			0.52
200			0.53
300			0.54
400			0.56
500			0.58
600			0.61
700			0.63
800			0.67
900			0.70
1000		0.75
1100		0.81
1200		0.87
1300		0.96
1400		1.08
1500		1.25
1600		1.50
1700		1.91
1800		2.73
1900		5.21
1950		10.21
#2000		739.74
